"BehaviorSpace results (NetLogo 6.1.0)"
"Segregation2.nlogo"
"experiment1"
"11/07/2019 14:19:46:031 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","%-similar-maximo","visualization","[step]","count turtles with [not happy?]"
"1","98","40","100","square-x","0","911"
"1","98","40","100","square-x","1","510"
"1","98","40","100","square-x","2","305"
"1","98","40","100","square-x","3","205"
"1","98","40","100","square-x","4","142"
"1","98","40","100","square-x","5","103"
"1","98","40","100","square-x","6","74"
"1","98","40","100","square-x","7","52"
"1","98","40","100","square-x","8","47"
"1","98","40","100","square-x","9","43"
"1","98","40","100","square-x","10","40"
"1","98","40","100","square-x","11","29"
"1","98","40","100","square-x","12","23"
"1","98","40","100","square-x","13","19"
"1","98","40","100","square-x","14","17"
"1","98","40","100","square-x","15","14"
"1","98","40","100","square-x","16","13"
"1","98","40","100","square-x","17","7"
"1","98","40","100","square-x","18","8"
"1","98","40","100","square-x","19","9"
"1","98","40","100","square-x","20","6"
"1","98","40","100","square-x","21","4"
"1","98","40","100","square-x","22","5"
"1","98","40","100","square-x","23","4"
"1","98","40","100","square-x","24","4"
"1","98","40","100","square-x","25","4"
"1","98","40","100","square-x","26","2"
"1","98","40","100","square-x","27","2"
"1","98","40","100","square-x","28","2"
"1","98","40","100","square-x","29","2"
"1","98","40","100","square-x","30","2"
"1","98","40","100","square-x","31","2"
"1","98","40","100","square-x","32","2"
"1","98","40","100","square-x","33","2"
"1","98","40","100","square-x","34","3"
"1","98","40","100","square-x","35","2"
"1","98","40","100","square-x","36","1"
"1","98","40","100","square-x","37","1"
"1","98","40","100","square-x","38","1"
"1","98","40","100","square-x","39","1"
"1","98","40","100","square-x","40","1"
"1","98","40","100","square-x","41","1"
"1","98","40","100","square-x","42","0"
