"BehaviorSpace results (NetLogo 6.1.0)"
"Segregation2.nlogo"
"experiment2"
"11/06/2019 12:49:50:393 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","count turtles with [not happy?]","percent-similar","percent-unhappy"
"6","80","10","2","0","51.43309808440155","0"
"8","80","10","2","0","51.79471966775437","0"
"4","80","10","2","0","50.543397350007446","0"
"2","80","10","2","0","52.03808390360012","0"
"1","80","10","2","0","52.351283192404686","0"
"5","80","10","2","0","51.31617864537119","0"
"7","80","10","3","0","50.99758162031439","0"
"12","80","11","2","0","51.2816646562123","0"
"3","80","10","3","0","51.52362726335934","0"
"9","80","10","3","0","50.982103884766474","0"
"15","80","11","2","0","51.86936604108172","0"
"14","80","11","2","0","51.37325529040972","0"
"13","80","11","3","0","50.93390804597702","0"
"10","80","10","2","0","50.983981693363845","0"
"17","80","11","2","0","50.885156604630055","0"
"11","80","11","5","0","51.53857814157951","0"
"16","80","11","2","0","52.28488460950634","0"
"19","80","11","2","0","51.55072463768116","0"
"20","80","11","2","0","50.87177904644346","0"
"18","80","11","3","0","51.79790623577606","0"
"21","80","12","2","0","50.78101974653699","0"
"25","80","12","1","0","50.9909647333139","0"
"22","80","12","3","0","52.6124488868696","0"
"27","80","12","1","0","51.508553654743395","0"
"23","80","12","2","0","50.25449101796408","0"
"26","80","12","2","0","50.13321492007105","0"
"24","80","12","3","0","51.72517703781829","0"
"28","80","12","2","0","52.11659586934232","0"
"30","80","12","2","0","51.11651222846726","0"
"33","80","13","2","0","52.09233060312732","0"
"29","80","12","2","0","51.080223598730925","0"
"31","80","13","4","0","51.565731166912855","0"
"32","80","13","3","0","51.486153400028996","0"
"34","80","13","3","0","52.5949953660797","0"
"36","80","13","3","0","50.7288187063468","0"
"35","80","13","3","0","52.76640897377596","0"
"38","80","13","2","0","51.11487005997232","0"
"37","80","13","3","0","51.58029612756264","0"
"39","80","13","2","0","50.59358053642094","0"
"40","80","13","3","0","52.8835690968444","0"
"41","80","14","3","0","51.304611650485434","0"
"44","80","14","2","0","51.96910027264465","0"
"43","80","14","2","0","51.50501672240802","0"
"42","80","14","3","0","51.386183126030275","0"
"46","80","14","3","0","52.05561369412468","0"
"49","80","14","2","0","50.81745912704365","0"
"45","80","14","4","0","51.895842850616724","0"
"48","80","14","3","0","51.19331742243437","0"
"50","80","14","3","0","50.91631032376298","0"
"47","80","14","4","0","52.550276887204895","0"
"52","80","15","4","0","52.59281988339981","0"
"51","80","15","5","0","54.857571214392806","0"
"53","80","15","4","0","54.66262319939348","0"
"55","80","15","3","0","54.75859941385161","0"
"56","80","15","4","0","54.36819830713422","0"
"54","80","15","5","0","54.84300947867299","0"
"57","80","15","4","0","55.26274262269213","0"
"58","80","15","4","0","55.17879161528977","0"
"62","80","16","4","0","53.479401326955724","0"
"61","80","16","5","0","55.57589626239512","0"
"60","80","15","5","0","54.47772540672039","0"
"59","80","15","7","0","53.58046747059699","0"
"65","80","16","4","0","55.104810737445334","0"
"63","80","16","6","0","55.437262357414454","0"
"66","80","16","5","0","55.3547423450336","0"
"67","80","16","4","0","54.801762114537446","0"
"69","80","16","4","0","53.917662682602916","0"
"64","80","16","7","0","54.274981217129984","0"
"68","80","16","5","0","56.00000000000001","0"
"70","80","16","5","0","54.816647264260766","0"
"73","80","17","8","0","58.234677056796045","0"
"71","80","17","9","0","58.928038220364286","0"
"77","80","17","6","0","57.4522871857013","0"
"75","80","17","7","0","57.92382374906647","0"
