"BehaviorSpace results (NetLogo 6.1.0)"
"Segregation2.nlogo"
"experiment3"
"11/06/2019 14:37:03:767 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","%-similar-maximo","[step]","count turtles with [not happy?]","percent-similar","percent-unhappy"
"4","85","0","60","10","0","36.72182821118991","0"
"2","85","0","60","10","0","37.28639342155981","0"
"5","85","0","60","11","0","36.8435083977606","0"
"7","85","0","60","10","0","36.85058397100282","0"
"3","85","0","60","10","0","37.16697441308362","0"
"8","85","0","60","12","0","36.85800604229607","0"
"9","85","0","60","8","0","36.57777176120211","0"
"6","85","0","60","21","0","36.373376188563014","0"
"12","85","0","61","8","0","37.24557229711869","0"
"1","85","0","60","23","0","37.17999734712827","0"
"10","85","0","60","10","0","36.45915418965065","0"
"11","85","0","61","12","0","37.38738738738739","0"
"13","85","0","61","10","0","37.26599326599327","0"
"14","85","0","61","11","0","37.016868109974766","0"
"16","85","0","61","10","0","36.72009537687111","0"
"20","85","0","61","9","0","36.93295865114412","0"
"19","85","0","61","10","0","36.60542207375048","0"
"15","85","0","61","19","0","36.64447403462051","0"
"21","85","0","62","13","0","36.27375449409348","0"
"18","85","0","61","13","0","36.9667626275844","0"
"23","85","0","62","8","0","37.245104659014174","0"
"25","85","0","62","8","0","36.390608875129","0"
"22","85","0","62","16","0","36.70531787285086","0"
"24","85","0","62","15","0","36.39836289222374","0"
"29","85","0","62","11","0","36.403392525841504","0"
"17","85","0","61","30","0","36.34197988353626","0"
"27","85","0","62","15","0","36.73103977490727","0"
"31","85","0","63","9","0","39.56920622257679","0"
"28","85","0","62","16","0","36.20826709062003","0"
"26","85","0","62","16","0","36.80591593149974","0"
"30","85","0","62","11","0","37.29502820411911","0"
"32","85","0","63","8","0","39.675632911392405","0"
"33","85","0","63","8","0","39.64262078093977","0"
"34","85","0","63","7","0","39.79368149580916","0"
"36","85","0","63","6","0","39.776315789473685","0"
"35","85","0","63","8","0","39.61942257217848","0"
"38","85","0","63","7","0","39.262648008611414","0"
"37","85","0","63","9","0","39.80544747081712","0"
"39","85","0","63","8","0","39.816272965879264","0"
"40","85","0","63","7","0","39.824859495490784","0"
"41","85","0","64","5","0","39.84913512810508","0"
"42","85","0","64","6","0","39.59136468774094","0"
"43","85","0","64","7","0","40.103694102397924","0"
"44","85","0","64","8","0","39.92537313432835","0"
"46","85","0","64","6","0","40.18130915877883","0"
"47","85","0","64","7","0","39.847189847189846","0"
"49","85","0","64","8","0","40.41733120680489","0"
"48","85","0","64","10","0","39.786364235790586","0"
"45","85","0","64","13","0","39.9153194765204","0"
"50","85","0","64","7","0","40.12086179716238","0"
"51","85","0","65","8","0","40.7417080177592","0"
"53","85","0","65","6","0","39.948353776630086","0"
"52","85","0","65","7","0","39.51832189563641","0"
"54","85","0","65","9","0","39.14100486223663","0"
"55","85","0","65","8","0","39.822325222093475","0"
"58","85","0","65","6","0","39.69556585043018","0"
"57","85","0","65","7","0","40.02590673575129","0"
"56","85","0","65","8","0","39.98134825472955","0"
"61","85","0","66","6","0","39.94818652849741","0"
"60","85","0","65","7","0","39.75760769332104","0"
"59","85","0","65","9","0","39.96644728352046","0"
"62","85","0","66","6","0","39.80723527858463","0"
"64","85","0","66","6","0","39.9973815134852","0"
"67","85","0","66","6","0","39.88531804240566","0"
"63","85","0","66","9","0","39.45062132112492","0"
"66","85","0","66","8","0","39.40617267873421","0"
"68","85","0","66","7","0","39.864777012092055","0"
"65","85","0","66","10","0","40.00796178343949","0"
"69","85","0","66","9","0","39.649535765659735","0"
"71","85","0","67","6","0","40.68037770016815","0"
"72","85","0","67","6","0","40.97087378640777","0"
"70","85","0","66","10","0","39.8291510945008","0"
"74","85","0","67","6","0","41.334740174096545","0"
"76","85","0","67","5","0","41.48499615285971","0"
"73","85","0","67","9","0","42.090545938748335","0"
"75","85","0","67","8","0","41.168200408997954","0"
"77","85","0","67","6","0","40.901393773609485","0"
"80","85","0","67","5","0","41.07454667562122","0"
"78","85","0","67","8","0","41.304926764314246","0"
"79","85","0","67","7","0","40.87561922613469","0"
"81","85","0","68","8","0","40.790169133192386","0"
"82","85","0","68","7","0","40.78791858174655","0"
"84","85","0","68","6","0","41.015255839071145","0"
"85","85","0","68","5","0","41.62259770411454","0"
"83","85","0","68","9","0","41.38019827475215","0"
"87","85","0","68","6","0","40.658628289900165","0"
"89","85","0","68","4","0","40.96526603356316","0"
"91","85","0","69","6","0","41.6943742518952","0"
"88","85","0","68","9","0","40.959264126149804","0"
"86","85","0","68","11","0","40.96273703752818","0"
"90","85","0","68","8","0","41.138489919620504","0"
"92","85","0","69","8","0","40.916420317119055","0"
"93","85","0","69","6","0","41.487027236349554","0"
"95","85","0","69","6","0","41.24884243947612","0"
"94","85","0","69","7","0","41.02931596091205","0"
"97","85","0","69","6","0","41.25016839552742","0"
"98","85","0","69","6","0","41.125767271777455","0"
"100","85","0","69","5","0","41.08021817214314","0"
"96","85","0","69","7","0","41.21180464873335","0"
"101","85","0","70","6","0","41.37575679505346","0"
"99","85","0","69","8","0","40.987124463519315","0"
"103","85","0","70","6","0","40.65402223675605","0"
"102","85","0","70","8","0","40.54018958576808","0"
"106","85","0","70","5","0","41.68100595632032","0"
"104","85","0","70","6","0","41.34855043945953","0"
"107","85","0","70","5","0","40.77084425799685","0"
"108","85","0","70","5","0","41.341077085533264","0"
"110","85","0","70","4","0","41.02530654839551","0"
"105","85","0","70","8","0","41.070489216202","0"
"109","85","0","70","7","0","41.274201988487704","0"
"113","85","0","71","5","0","40.88375796178344","0"
"111","85","0","71","7","0","40.97082156783649","0"
"112","85","0","71","8","0","41.371474401817935","0"
"116","85","0","71","6","0","40.72220719502299","0"
"115","85","0","71","7","0","41.33180252583238","0"
"117","85","0","71","6","0","41.261378413524056","0"
"118","85","0","71","6","0","40.85676037483266","0"
"114","85","0","71","11","0","40.90247452692867","0"
"119","85","0","71","5","0","41.21212121212121","0"
"121","85","0","72","4","0","43.98442569759896","0"
"122","85","0","72","5","0","43.61293859649123","0"
"124","85","0","72","5","0","43.541477346488385","0"
"120","85","0","71","10","0","40.61671550160458","0"
"123","85","0","72","7","0","42.812823164426064","0"
"126","85","0","72","5","0","43.64116094986807","0"
"125","85","0","72","7","0","43.185399159663866","0"
"127","85","0","72","6","0","43.342140026420076","0"
"129","85","0","72","5","0","42.884541618718835","0"
"128","85","0","72","7","0","43.01118749157568","0"
"131","85","0","73","5","0","43.339933993399335","0"
"130","85","0","72","6","0","43.170385657164964","0"
"133","85","0","73","4","0","43.313425084393664","0"
"132","85","0","73","7","0","43.88336646785951","0"
"135","85","0","73","5","0","43.67862421066774","0"
"134","85","0","73","6","0","43.158172000526804","0"
"136","85","0","73","5","0","43.35183716627016","0"
"137","85","0","73","5","0","43.22970195272354","0"
"138","85","0","73","5","0","42.15568862275449","0"
"139","85","0","73","5","0","43.13446356930245","0"
"143","85","0","74","5","0","43.997919105215246","0"
"140","85","0","73","8","0","43.6449864498645","0"
"144","85","0","74","5","0","43.22396576319544","0"
"141","85","0","74","7","0","43.75081454450671","0"
"145","85","0","74","5","0","43.2081112699857","0"
"142","85","0","74","8","0","43.73371547681084","0"
"146","85","0","74","6","0","43.244653103808034","0"
"147","85","0","74","7","0","43.04455124042084","0"
"151","85","0","75","4","0","45.30650072818748","0"
"149","85","0","74","6","0","43.665128543177325","0"
"153","85","0","75","4","0","45.65332626557117","0"
"148","85","0","74","6","0","43.52598862584314","0"
"152","85","0","75","4","0","45.955638198964","0"
"154","85","0","75","4","0","44.852843254760955","0"
"150","85","0","74","6","0","43.33205472445979","0"
"155","85","0","75","4","0","45.839358485605366","0"
"156","85","0","75","4","0","45.27009222661397","0"
"158","85","0","75","3","0","45.49321988832757","0"
"157","85","0","75","3","0","45.31533869711913","0"
"160","85","0","75","3","0","45.58217413704276","0"
"159","85","0","75","4","0","45.719111342081334","0"
"162","85","0","76","4","0","45.205124886760714","0"
"161","85","0","76","4","0","45.3654763439474","0"
"163","85","0","76","4","0","45.73241808055951","0"
"164","85","0","76","4","0","45.52038626609442","0"
"165","85","0","76","4","0","45.680800632077954","0"
"166","85","0","76","4","0","45.175906183368866","0"
"167","85","0","76","5","0","45.678685047720045","0"
"168","85","0","76","4","0","45.55959491041288","0"
"169","85","0","76","4","0","45.71094359240967","0"
"170","85","0","76","5","0","45.48783677739995","0"
"173","85","0","77","4","0","45.57996249665149","0"
"171","85","0","77","4","0","45.71030287669497","0"
"172","85","0","77","4","0","45.240877808076874","0"
"174","85","0","77","4","0","45.00665778961385","0"
"175","85","0","77","4","0","45.83775185577943","0"
"176","85","0","77","4","0","45.6133438402942","0"
"177","85","0","77","5","0","45.23528640713069","0"
"178","85","0","77","5","0","45.45454545454545","0"
"180","85","0","77","3","0","45.149352365847214","0"
"182","85","0","78","3","0","45.71353894406691","0"
"179","85","0","77","4","0","45.09594882729211","0"
"181","85","0","78","5","0","44.70681878482356","0"
"183","85","0","78","4","0","45.48055663935492","0"
"184","85","0","78","5","0","45.19292811975738","0"
"189","85","0","78","3","0","45.00798722044728","0"
"185","85","0","78","5","0","44.18230563002681","0"
"186","85","0","78","5","0","46.01091476091476","0"
"190","85","0","78","3","0","45.66156262269337","0"
"188","85","0","78","4","0","45.33562367864693","0"
"187","85","0","78","6","0","45.52509053285049","0"
"192","85","0","79","3","0","45.772325550718904","0"
"191","85","0","79","5","0","44.89364513145726","0"
"193","85","0","79","3","0","45.53158705701079","0"
"194","85","0","79","4","0","45.58994948840824","0"
"197","85","0","79","3","0","45.194736142496346","0"
"196","85","0","79","4","0","45.818702041878005","0"
"198","85","0","79","4","0","45.09095773140717","0"
"195","85","0","79","6","0","45.00529941706412","0"
"199","85","0","79","4","0","45.65103484411841","0"
"200","85","0","79","4","0","45.09416567891479","0"
"205","85","0","80","3","0","46.1066910134342","0"
"204","85","0","80","4","0","46.058091286307054","0"
"202","85","0","80","5","0","45.652738126135475","0"
"201","85","0","80","6","0","45.898179899762596","0"
"203","85","0","80","4","0","45.72711662924316","0"
"207","85","0","80","3","0","45.9412780656304","0"
"206","85","0","80","4","0","45.53124176113894","0"
"208","85","0","80","4","0","46.10801709623106","0"
"210","85","0","80","3","0","46.130520764667104","0"
"213","85","0","81","3","0","46.49316851008458","0"
"212","85","0","81","3","0","46.09919747401658","0"
"209","85","0","80","4","0","45.843389648699386","0"
"211","85","0","81","4","0","45.47064432638605","0"
"214","85","0","81","4","0","46.203467275903776","0"
"215","85","0","81","4","0","46.29242819843342","0"
"217","85","0","81","3","0","45.14875368533905","0"
"216","85","0","81","5","0","45.89086127547666","0"
"218","85","0","81","3","0","46.07554245914814","0"
"219","85","0","81","3","0","46.09334708612687","0"
"220","85","0","81","3","0","45.46656093047846","0"
"221","85","0","82","4","0","45.49608355091384","0"
"223","85","0","82","4","0","45.64928153273017","0"
"222","85","0","82","5","0","46.15088529638183","0"
"225","85","0","82","3","0","45.87203977495748","0"
"226","85","0","82","3","0","45.86614173228347","0"
"228","85","0","82","3","0","46.28","0"
"227","85","0","82","4","0","46.59075686537174","0"
"224","85","0","82","5","0","45.45577495266432","0"
"229","85","0","82","3","0","46.346882760423476","0"
"230","85","0","82","4","0","45.875542691751086","0"
"232","85","0","83","4","0","45.159989244420544","0"
"233","85","0","83","4","0","45.35020216512326","0"
"235","85","0","83","3","0","45.53862185749642","0"
"234","85","0","83","4","0","45.46424759871932","0"
"231","85","0","83","5","0","45.40017813971243","0"
"237","85","0","83","4","0","45.65992865636147","0"
"236","85","0","83","5","0","45.803108808290155","0"
"238","85","0","83","3","0","46.06466572201469","0"
"239","85","0","83","3","0","46.44362150427787","0"
"242","85","0","84","3","0","46.496301277740415","0"
"241","85","0","84","3","0","47.09870908853827","0"
"240","85","0","83","3","0","45.94908902959038","0"
"243","85","0","84","3","0","47.23028224742812","0"
"244","85","0","84","4","0","46.64125147890101","0"
"245","85","0","84","3","0","47.119800551108774","0"
"246","85","0","84","3","0","47.22075869336143","0"
"247","85","0","84","2","0","46.92913385826772","0"
"249","85","0","84","3","0","47.55431160868986","0"
"248","85","0","84","3","0","46.60050958830629","0"
"251","85","0","85","3","0","46.80350372597725","0"
"250","85","0","84","4","0","47.78170396544955","0"
"253","85","0","85","4","0","46.542231771183026","0"
"252","85","0","85","4","0","47.05729841845994","0"
"255","85","0","85","3","0","47.33386923901393","0"
"254","85","0","85","4","0","47.47367017730969","0"
"256","85","0","85","4","0","46.06246663107314","0"
"257","85","0","85","4","0","47.02286018075492","0"
"262","85","0","86","2","0","48.40110540860639","0"
"259","85","0","85","4","0","46.89250814332247","0"
"258","85","0","85","5","0","46.61199247109438","0"
"263","85","0","86","2","0","48.421778084079946","0"
"264","85","0","86","2","0","48.00213817987438","0"
"261","85","0","86","5","0","48.61355336128771","0"
"260","85","0","85","5","0","47.827773467804505","0"
"267","85","0","86","2","0","48.09976247030879","0"
"265","85","0","86","4","0","47.90533188248096","0"
"266","85","0","86","3","0","49.0105090760202","0"
"269","85","0","86","3","0","48.026578073089695","0"
"270","85","0","86","3","0","47.96095734723894","0"
"271","85","0","87","3","0","48.48404607440752","0"
"273","85","0","87","2","0","48.78763655742073","0"
"268","85","0","86","5","0","48.15454062665959","0"
"275","85","0","87","2","0","47.9594523433386","0"
"272","85","0","87","4","0","48.11384078399785","0"
"276","85","0","87","3","0","48.09018567639257","0"
"279","85","0","87","2","0","48.7095897853844","0"
"274","85","0","87","4","0","48.2247366367538","0"
"282","85","0","88","1","0","49.73393900064893","0"
"281","85","0","88","2","0","49.79117723831898","0"
"277","85","0","87","3","0","47.846952010376135","0"
"278","85","0","87","4","0","48.519758874748824","0"
"284","85","0","88","1","0","48.90368050117463","0"
"283","85","0","88","2","0","48.40206869115502","0"
"286","85","0","88","1","0","48.921709580447","0"
"280","85","0","87","5","0","48.63143631436314","0"
"285","85","0","88","2","0","50.16939964764874","0"
"287","85","0","88","1","0","49.46692357096981","0"
"288","85","0","88","2","0","48.90460343871326","0"
"289","85","0","88","2","0","49.75995847930453","0"
"293","85","0","89","1","0","48.77950101146325","0"
"290","85","0","88","2","0","49.08847184986595","0"
"291","85","0","89","2","0","48.26306019623442","0"
"292","85","0","89","2","0","48.289023427217685","0"
"295","85","0","89","2","0","48.73069173942243","0"
"294","85","0","89","2","0","50.257834192780635","0"
"297","85","0","89","2","0","49.347123464770526","0"
"296","85","0","89","4","0","49.0971853425385","0"
